"","X","Entry","Loc","Rep","y"
"1",1,"A",1,1,60
"2",2,"A",1,2,65
"3",3,"A",1,3,60
"4",4,"B",1,1,80
"5",5,"B",1,2,90
"6",6,"B",1,3,83
"7",7,"C",1,1,25
"8",8,"C",1,2,28
"9",9,"C",1,3,30
"10",10,"D",1,1,50
"11",11,"D",1,2,65
"12",12,"D",1,3,50
"13",13,"E",1,1,52
"14",14,"E",1,2,50
"15",15,"E",1,3,55
"16",16,"F",1,1,22
"17",17,"F",1,2,25
"18",18,"F",1,3,25
"19",19,"G",1,1,30
"20",20,"G",1,2,30
"21",21,"G",1,3,25
"22",22,"A",2,1,80
"23",23,"A",2,2,65
"24",24,"A",2,3,75
"25",25,"B",2,1,70
"26",26,"B",2,2,60
"27",27,"B",2,3,60
"28",28,"C",2,1,40
"29",29,"C",2,2,35
"30",30,"C",2,3,35
"31",31,"D",2,1,40
"32",32,"D",2,2,40
"33",33,"D",2,3,40
"34",34,"E",2,1,55
"35",35,"E",2,2,54
"36",36,"E",2,3,50
"37",37,"F",2,1,30
"38",38,"F",2,2,28
"39",39,"F",2,3,32
"40",40,"G",2,1,28
"41",41,"G",2,2,34
"42",42,"G",2,3,35
"43",43,"A",3,1,70
"44",44,"A",3,2,75
"45",45,"A",3,3,70
"46",46,"B",3,1,85
"47",47,"B",3,2,90
"48",48,"B",3,3,90
"49",49,"C",3,1,35
"50",50,"C",3,2,30
"51",51,"C",3,3,30
"52",52,"D",3,1,48
"53",53,"D",3,2,50
"54",54,"D",3,3,52
"55",55,"E",3,1,40
"56",56,"E",3,2,40
"57",57,"E",3,3,60
"58",58,"F",3,1,28
"59",59,"F",3,2,25
"60",60,"F",3,3,30
"61",61,"G",3,1,40
"62",62,"G",3,2,45
"63",63,"G",3,3,35
"64",64,"A",4,1,72
"65",65,"A",4,2,82
"66",66,"A",4,3,90
"67",67,"B",4,1,70
"68",68,"B",4,2,85
"69",69,"B",4,3,80
"70",70,"C",4,1,40
"71",71,"C",4,2,35
"72",72,"C",4,3,35
"73",73,"D",4,1,45
"74",74,"D",4,2,45
"75",75,"D",4,3,50
"76",76,"E",4,1,48
"77",77,"E",4,2,38
"78",78,"E",4,3,45
"79",79,"F",4,1,26
"80",80,"F",4,2,28
"81",81,"F",4,3,28
"82",82,"G",4,1,30
"83",83,"G",4,2,32
"84",84,"G",4,3,35
"85",85,"A",5,1,48
"86",86,"A",5,2,45
"87",87,"A",5,3,50
"88",88,"B",5,1,40
"89",89,"B",5,2,40
"90",90,"B",5,3,40
"91",91,"C",5,1,35
"92",92,"C",5,2,25
"93",93,"C",5,3,20
"94",94,"D",5,1,50
"95",95,"D",5,2,50
"96",96,"D",5,3,45
"97",97,"E",5,1,38
"98",98,"E",5,2,30
"99",99,"E",5,3,40
"100",100,"F",5,1,45
"101",101,"F",5,2,50
"102",102,"F",5,3,45
"103",103,"G",5,1,45
"104",104,"G",5,2,35
"105",105,"G",5,3,38
"106",106,"A",6,1,50
"107",107,"A",6,2,40
"108",108,"A",6,3,40
"109",109,"B",6,1,38
"110",110,"B",6,2,40
"111",111,"B",6,3,50
"112",112,"C",6,1,35
"113",113,"C",6,2,30
"114",114,"C",6,3,30
"115",115,"D",6,1,40
"116",116,"D",6,2,48
"117",117,"D",6,3,40
"118",118,"E",6,1,35
"119",119,"E",6,2,40
"120",120,"E",6,3,35
"121",121,"F",6,1,50
"122",122,"F",6,2,50
"123",123,"F",6,3,50
"124",124,"G",6,1,44
"125",125,"G",6,2,45
"126",126,"G",6,3,40
